S No,Symptoms
6949,intraventricular hemorrhage
6950,Intubation
6951,intubation granuloma
6952,Inturning of lid margins
6953,INTUSSECEPTION
6954,INTUSSUSSEPTION
6955,Invasive aspergillosis
6956,"Invasive candidiasis, "
6957,Invasive Carcinoma of the Vulva
6958,Invasive cribriform carcinoma
6959,"Invasive ductal carcinoma, not otherwise specified"
6960,Invasive lobular carcinoma
6961,Invasive micropapillary carcinoma
6962,Invasive papillary carcinoma
6963,invasive papillary mucinous carcinoma
6964,inversion
6965,INVERSION OF UTERUS
6966,Inverted follicular keratosis
6967,INVERTED PAPILLOMA
6968,Inverted urothelial papilloma
6969,involuntary choreoathetotic movements
6970,Involuntary Defaecation
6971,Involuntary escape of flatus and/or feces into the  vagina.
6972,involuntary movements
6973,involuntary movements (predominantly coarse tremors)
6974,involuntary movements of eyes
6975,involuntary movements of thigh
6976,involuntary movements of thumb
6977,involuntary muscle movements
6978,involuntary urination
6979,"Involvement of deeper soft tissues and internal organs, including bone,  can be seen. Individual nodules rarely exceed 2–3 cm in diameter"
6980,"Involvement of other organs,  including the lung, liver and bone, may be seen in some cases, and  it is not clear whether this represents multicentricity or metastatic  spread."
6981,Involvement of the lips and cheeks may be followed by  progressive gangrene
6982,"Involvement of the mucous membranes of the eyes, mouth,  nose and genitalia is usually an early feature and leads to an  erosive and haemorrhagic mucositis."
6983,"Involvement of the scalp ranges from mild flaking without underlying erythema to a more inflammatory eruption with thicker, yellow, greasy scales and crusts; similar changes can occur in the beard."
6984,Inward deviation (esotropia) or outward deviation (exotropia) or vertical deviation (hypertropia).
6985,IODINE DEFICIENCY
6986,Iodine deficiency disorder
6987,iodine sensitivity
6988,Iodism
6989,IOP is markedly lowered
6990,IPEX SYNDROME
6991,ipsilateral ataxia
6992,Ipsilateral epistaxis
6993,Ipsilateral ophthalmoplegia
6994,"Iridodonesis i.e., tremulousness of iris can be demonstrated."
6995,Iris become reddish brown (heterochromia iridis)
6996,Iris becomes atrophic
6997,iris bombe
6998,iris cysts
6999,Iris is oedematous and muddy
7000,Iris may be discoloured
7001,Iris may show iridodonesis and atrophic patches in late stage
7002,iris nodules
7003,Iris pigmentation
7004,iritis
7005,Iron deficiency
7006,iron deficiency anemia
7007,iron poisoning
7008,iron-deficiency anaemia
7009,irradiation
7010,irrational behaviour
7011,irregular and coarse geographic-like opacities with varying densities
7012,IRREGULAR ASTIGMATISM
7013,Irregular extension at the edges leads to a serpiginous outline with finger-like  projections
7014,irregular eyebrows
7015,irregular heart beat
7016,Irregular heart rate
7017,"Irregular islands of thickened, gray, hazy epithelium with scalloped, circumscribed borders of cornea"
7018,irregular menstrual bleeding
7019,Irregular menstruation
7020,Irregular period
7021,Irregular pulse
7022,irregular pupillary reflex
7023,irregular respiration
7024,irregular urine output
7025,Irregular vaginal bleeding or spotting
7026,irregularity in the floor of the mouth
7027,irregularity of pulse
7028,Irreversible brain damage
7029,Irreversible corneal decompensation
7030,Irreversible damage to your facial nerve
7031,Irreversible partial or total deafness
7032,Irreversible peripheral neuropathy
7033,irreversible pigmentation (chrysiasis)
7034,Irreversible visual field defects
7035,Irritability
7036,IRRITABLE
7037,Irritable Bowel Syndrome
7038,Irritant
7039,Irritant contact dermatitis
7040,Irritant contact dermatitis frequently presents on the hand
7041,irritant dermatitis
7042,Irritant eczema
7043,irritant to sensitive skin
7044,irritant to the eyes
7045,Irritant to the eyes respiratory tract
7046,Irritant to the mucous membranes
7047,Irritant to the respiratory tract
7048,irritant to the urinary tract
7049,IRRITATED EYE
7050,irritating burns on the mucous membranes
7051,irritating burns on the skin
7052,Irritating burns on the skin and mucous membrane with white eschar
7053,Irritating to mucous membrane
7054,Irritation
7055,Irritation at the injection site or phlebitis
7056,irritation in ear canal
7057,"Irritation in this form of eczema is often intense, and worse with changes of temperature, particularly on undressing at night."
7058,Irritation may occur after topical application
7059,Irritation of the mucous membranes
7060,Irritation of the nasal mucosa
7061,irritation of the oropharynx
7062,irritation of the throat
7063,Irritation of throat
7064,Irritational Fibroma
7065,is glycosylated)Hypocomplementaemic urticarial vasculitis
7066,ischaemia
7067,ischaemic cardiotoxicity
7068,ischaemic chest pain
7069,ischaemic colitis
7070,Ischaemic events
7071,Ischaemic fasciitis
7072,ischaemic heart disease
7073,ischaemic optic neuropathy
7074,Ischaemic stroke
7075,ischaemic vascular disease
7076,ischemic colitis
7077,ischemic heart disease
7078,Ischemic Stroke
7079,Ischio-Pubic Rami Fracture
7080,isolated cases of photosensitivity
7081,isolated cases of QT-interval prolongation
7082,Isolated intermittent follicular lesions are so frequent on the neck  and beard
7083,Isolated prolongation of the QTc interval
7084,isolated reports of a decrease in platelet count
7085,It arises most frequently from the acoustic nerve. Bilateral acoustic schwannomas are characteristic of neurofi bromatosis
7086,it consists of small fi rm papules/ papule either fl esh coloured or pink usually on the face and neck.
7087,"It generally presents as  a collection of pink, red or dusky brown, fi rm dermal nodules  of varying size but usually less than 15  mm diameter"
7088,"it has a predilection for the proximal extremities, followed by the trunk"
7089,"It has a round or oval shape, with a  diameter of a few – usually up to 10 – centimetres. Normally it  presents as a single lesion, but multiple Mongolian spots may  occasionally occur"
7090,"It is also associated with UV exposure,  gaining a darker shade after exposure to sunlight (e.g. after  a summer vacation) or artificial UV sources"
7091,"It is at first smooth, dome-shaped  and acutely tender."
7092,It is characterized by 2–15  mm yellow  or reddish yellow papules/plaques affecting both the skin and  mucous membranes. The back and head are the most common  locations
7093,It is distinguished from naevus of Ota by its location  in the area innervated by the posterior supraclavicular and lateral  cutaneous brachial nerves
7094,"It is fi rm and rounded  but with rather indefi nite margins, sessile or pedunculated, and  between 5 and 20 mm in diameter"
7095,"it is found more commonly on the  trunk and the extremities. A compound naevus is a slightly raised, oval or round papule with symmetrical shape"
7096,"It is rare in young adults and  more exceptional in older adults. The trunk, axilla and groin are  much more commonly involved than the proximal limbs"
7097,"It is usually of acute onset, with fever, sweats, wasting, generalized painful lymphadenopathy and hepatosplenomegaly"
7098,"It may begin in early adult life with one or more small,  fi rm, painless, fl esh-coloured or red dermal nodules"
7099,It may reduce calcium absorption
7100,It presents as an asymptomatic slowly growing mass on the posterior upper trunk
7101,"It presents in children and young adults of either sex, with  a predilection for the lower limbs and the head and neck"
7102,"It presents with asymptomatic, non-scaly, erythematous papules and plaques, mainly affecting the face, neck and upper chest."
7103,"It presents with single to multiple papules or nodules  with a predilection for the face, head and neck, followed by the  upper torso and upper and lower extremities."
7104,"It then evolves to  form a centrifugally extending, annular, erythematous eruption having a crusted edge which may be itchy, burning, painful, blistered or eroded"
7105,"It usually  occurs in females, less than 14 months of age, on the proximal  extremity or upper back, and may be misdiagnosed as haemangioma, particularly as it can be preceded by a congenital precurso"
7106,It usually appears as a slow-growing small polypoid lesion. Multiple neurofi bromas are rare outside  the setting of neurofi bromatosis type 1
7107,"It was first described in children with  significant erythema, scaling and induration of the extremities and  hyperkeratosis on the palms, soles and face. There may be ulceration of the extremities"
7108,itching
7109,itching arround anus
7110,itching in ear canal
7111,itching in eyes
7112,Itching leads to scratching and secondary changes of dermatitis  and bacterial infection.
7113,Itching of the skin
7114,itching on face
7115,itching on mole
7116,itching on shin
7117,itching on shoulder
7118,itching on thigh
7119,itching on waist
7120,itching on wrist
7121,"itchy or tender macular erythema with a predilection for  the groin, genitalia or buttocks"
7122,itchy papule
7123,IUGR
7124,Jagged Tooth
7125,JANEWAY LESIONS
7126,Japanese Encephalitis
7127,Jarisch-Herxheimer reaction
7128,jaundice
7129,jaundice in pregnancy
7130,"Jaw claudication, characterized by pain on speaking or chewing, is pathognomonic of GCA"
7131,jaw discomfort
7132,Jaw movement causes pain in ear
7133,Jaw pain
7134,JC-virus-associated progressive multifocal leukoencephalopathy (PML)
7135,jerking
7136,"jerky (slow drift in one direction as slow phase followed by an abrupt return to normal position by fast phase, cyclic pattern)"
7137,jerky speech
7138,Jessner’s lymphocytic infiltrate
7139,Jitteriness
7140,JOB SYNDROME (HYPER IGE SYNDROME)
7141,Jock itch
7142,JOINT CONTRACTURES
7143,JOINT DISLOCATION
7144,joint disorders
7145,JOINT EFFUSION
7146,joint erosions
7147,joint hypermobility
7148,Joint infection
7149,Joint laxity
7150,joint pain
7151,joint pain by internal bleeding
7152,Joint pain/Arthritis
7153,joint stiffness
7154,Joint swelling
7155,joint toxicity
7156,JUGULAR VENOUS DISTENSION
7157,jugulodigastric lymph node enlargement
7158,Jujin haemorrhagic fever
7159,Juvenile  aponeurotic fibroma
7160,Juvenile aponeurotic fibromatosis
7161,Juvenile chronic arthritis
7162,JUVENILE DERMATOMYOSITIS
7163,Juvenile granulosa cell tumour
7164,Juvenile hyaline fibromatosis
7165,JUVENILE IDIOPATHIC ARTHITIS
7166,juvenile idiopathic arthritis
7167,Juvenile Myoclonic Epilepsy
7168,JUVENILE NASOPHARYNGEAL ANGIOFIBROMA
7169,JUVENILE PAPPILOMATOSIS
7170,Juvenile springtime eruption
7171,Juvenile xanthogranuloma
7172,Juxta-articular myxoma
7173,JVP raised
7174,KALLMAN SYNDROME
7175,Kallmann Syndrome
7176,Kallmann syndrome'
7177,kaposi sarcoma
7178,Kaposiform haemangioendothelioma
7179,Kaschin Beck disease
7180,Kawasaki disease
7181,Kawasaki Disease
7182,Kawasaki disease dermatology
7183,Kawasaki syndrome
7184,Kayser-Fleischer ring on cornea
7185,KEARNS-SAYRE SYNDROME
7186,Keeping the reading material close to the eyes
7187,keeping their necks hyperextended
7188,KELOID
7189,KELOID.
7190,Keloids and hypertrophic scars
7191,Keratic precipitates
7192,Keratic precipitates present at the back of cornea
7193,keratinising squmaous cell carcinoma
7194,Keratinopathic ichthyoses
7195,KERATITIS
7196,Keratitis–ichthyosis–deafness
7197,kerato cojunctivitis
7198,keratoacanthoma
7199,KERATOCONUS
7200,keratolysis
7201,Keratolysis exfoliativa
7202,Keratolytic winter erythema
7203,KERATOMALACIA
7204,keratopathy
7205,keratoses vary from gross keratoderma  to patchy hyperkeratotic yellow-white papules
7206,Keratosis circumscripta
7207,keratosis follicularis
7208,keratosis obliterans
7209,Keratosis Obturans
7210,KERATOSIS PHARYNGITIS
7211,Keratosis pilaris
7212,Keratotic dome-shaped papules
7213,"keratotic follicular papules involving the anterolateral thighs  and posterolateral upper arms, and can spread to the extensor  extremities, shoulders, posterior neck, back, buttocks and abdomen"
7214,keratotic lesions are pruritic and mildly  painful with pressure
7215,kernicterus
7216,Kernicterus
7217,kernig leg sign
7218,Kernig sign (flexion of the hip 90 degrees with subsequent pain with extension of the leg)
7219,kernig sign positive
7220,KERNIGS SIGN
7221,KEROSENE POISONING
7222,Keshan disease
7223,ketoacidosis
7224,Ketonuria
7225,"Ketosis, "
7226,KF ring in eye examination
7227,khaki cell glaucoma (in aphakia)
7228,kidney abnormalities
7229,kidney damage
7230,kidney disease
7231,kidney dysfunction
7232,kidney involvement
7233,kidney stone
7234,Kidney transplantation
7235,"kissing’  naevus, that may ulcerate or bleed"
7236,Klinefelter syndrome.
7237,Klinefelters syndrome
7238,knee bruise
7239,knee contractures
7240,knee deformity
7241,knee discoloration
7242,knee infection
7243,knee injury
7244,knee itching
7245,knee joint pain
7246,knee loss of sensation
7247,knee numbness
7248,knee pain
7249,knee pus
7250,knee rashes
7251,knee redness
7252,knee skin pale
7253,knee spasticity
7254,knee stiffness
7255,knee swelling
7256,knee tenderness
7257,knee tightness
7258,knee tingling
7259,known or suspected opioid overdosage.
7260,knuckle pads
7261,KOEBNER PHENOMENON
7262,Koeppe’s nodules in iris
7263,KOEPPES NODULE
7264,koilonychia (spooning of nails)
7265,Koplik spot
7266,Krabbe Disease
7267,kussmaul breathing
7268,kussmaul sign
7269,KUSSMAUL'S SIGN
7270,KWASHIORKER
7271,Kyasanur forest diease (KFD)
7272,KYPHOSCOLIOSIS
7273,KYPHOSIS
7274,L-2-hydroxyglutaric aciduria
7275,LABIAL ADHESIONS
7276,labial fusion
7277,Labial melanotic macules
7278,labial swelling
7279,labile blood pressure
7280,lachrymation
7281,lack of coordination
7282,lack of energy
7283,lack of interest in surroundings
7284,"lacking facial,axillary and pubic hairs"
7285,lacrimal abscess
7286,Lacrimation
7287,lactation failure
7288,Lactic acidosis
7289,Lagophthalmos
7290,Lamellar dot sign the pores in the lamina cribrosa
7291,lamellar macular hole
7292,Langerhans cell histiocytosis
7293,Language difficulties and learning disabilities.
7294,language impairment
7295,lanugo hair
7296,LAPP lactase deficiency
7297,LAPSE OF CONSIOUSNESS IS PROLONGED
7298,Large abdominal mass
7299,large areas of intra and subretinal yellowish exudates
7300,Large cell carcinoma: Large cell neuroendocrine ca
7301,large cell neuroendocrine carcinoma
7302,large chronic ulcers with polymicrobial infection
7303,large doses can cause intestinal obstruction
7304,large eyes with strabismus
7305,large flaccid bullae
7306,large fleshy nose
7307,large fontanelle
7308,Large malodorous masses may form on vulvar and perianal skin
7309,large mutton fat KPs
7310,largely male with good muscular development and broad shoulders
7311,"larger lesions may be yellow, pink or sometimes bluish  from pigmentation, and there may be dilated blood vessels over  the surface"
7312,larger purpuric macules
7313,larngeospasm
7314,LARSEN’S SYNDROME
7315,Larva Migrans
7316,laryngeal atresia
7317,Laryngeal Carcinoma
7318,Laryngeal Diphtheria
7319,laryngeal edema
7320,laryngeal oedema
7321,Laryngeal Paralysis
7322,laryngeal schwanomma
7323,Laryngeal spasm
7324,laryngeal stenosis
7325,laryngeal webs
7326,laryngeal/carpopedal spasm
7327,laryngitis
7328,Laryngocele
7329,Laryngomalacia
7330,laryngopyocoele
7331,Laryngoscopy
7332,laryngospasm
7333,LARYNGOTRACHEAL TRAUMA
7334,laryngo-tracheo-bronchitis
7335,Lassa fever
7336,lassitude
7337,LAST MENSTRUAL PERIOD
7338,late closure of the fontanelles
7339,late reopening of the hole
7340,latent horizontal nystagmus
7341,Latent infections
7342,latent nystagmus no movement is present when both eyes are open but nystagmus is elicited only when either eye is covered
7343,latent tuberculosis
7344,Latent viral infections
7345,later cognitive changes
7346,"Later, the ulcer may  deepen and its edge become rolled, raised and avascular"
7347,lateral displacement of eyeball
7348,lateral displacement of eyeball and diplopia
7349,LATERAL SINUS THROMBOPHLEBITIS
7350,Lathosterolosis
7351,Lattice corneal dystrophy
7352,Lattice lines in cornea
7353,Laundice
7354,"Lead has effects on multiple organs including peripheral neuropathy, problems with learning and memory function, erythrocyte fragility, Fanconi-like syndrome, plumbism gout (saturnine  gout), increa"
7355,Lead Nephropathy
7356,lead pipe rigidity
7357,Lead Poisoning
7358,"leafy, polypoidal mass, pink to purple in colour and attached to nasal septum or lateral wall"
7359,Learning difficulty
7360,Leash of blood vessels appear along the handle of malleus  and at the periphery of tympanic membrane imparting it  a cart-wheel appearance
7361,leathery skin
7362,Leber congenital amaurosis (LCR)
7363,LEBER HEREDITARY OPTIC NEUROPATHY (LHON)
7364,Leber’s hereditary Optic Neuropathy
7365,Leber's optic atrophy
7366,LEFT ATRIAL MYXOMA
7367,left atrial myxoma
7368,left haemothorex
7369,Left Liver Lobe Abcess
7370,left testicular pain
7371,left upper quadrant and left shoulder tip pain
7372,Left Ventricular Aneurysm
7373,left ventricular dysfunction
7374,Left ventricular dyskinesia
7375,LEFT VENTRICULAR FAILURE
7376,left ventricular failure with low filling pressures
7377,left ventricular fibroelastosis
7378,leg bleeding
7379,leg bruise
7380,leg cramps
7381,leg deformity
7382,leg discoloration
7383,leg fatigue
7384,leg infection
7385,leg injury
7386,leg involentary movement
7387,leg itching
7388,leg joint pain
7389,leg loss of sensation
7390,leg muscle cramp
7391,leg muscle fascicultion
7392,leg numbness
7393,leg or foot pain
7394,leg pain
7395,leg pale skin
7396,leg pus
7397,leg rashes
7398,leg redness
7399,leg spasticity
7400,leg stiffness
7401,leg strain
7402,leg swelling
7403,leg tewnderness
7404,leg tightness
7405,leg tingling
7406,leg tiredness
7407,leg tremor
7408,LEG ULCERATION
7409,Leg ulcers
7410,leg weakness
7411,Legionnaire disease
7412,leg-length discrepancy
7413,LEIGH DISEASE
7414,Leigh syndrome
7415,leiomyoma
7416,Leiomyoma  WITH PREGNANCY
7417,leiomyosarcoma
7418,leiomyosarcoma
7419,"Leiomyosarcoma - Epithelioid variant, Myxoid varia"
7420,Leishmaniasis
7421,Lengthening of eyelashes
7422,Lennox-Gastaut Syndrome
7423,Lens becomes flat
7424,lens is cataractous and swollen
7425,lens opacities
7426,lens opacity
7427,LENS-INDUCED (PHACOGENIC) GLAUCOMAS
7428,Lens-induced glaucoma
7429,LENS-INDUCED UVEITIS
7430,Lentigines
7431,"Lentigines (centrofacial palmoplantar, trunk) Lentigines (centrofacial palmoplantar, trunk) plus mental retardation"
7432,"Lentigines are poorly circumscribed, uniformly pigmented macules,with a round or oval shape and a diameter of up to 5 mm"
7433,LEOMYOMA
7434,leonine facies
7435,LEPROSY
7436,Leprosy (Hansen disease)
7437,LEPROSY DERMATOLOGY
7438,Leprotic Uveitis
7439,Leptospirosis
7440,Leptospirosis dermatology
7441,Lesch-Nyhan Disease
7442,Lesch-Nyhan syndrome
7443,Lesch–Nyhan syndrome
7444,"lesion gradually becomes elevated, infiltrated and brown and grows by slow  peripheral extension to become gyrate or discoid in shape with  areas of atrophy"
7445,"lesion is a rounded, oval or irregular hypopigmented patch that is usually not well marginated"
7446,lesion is an oedematous erythematous follicular papule or pustule centred on a hair
7447,lesion is usually solitary and painful and consists of a  fi rm rounded bluish dermal nodule 3–50 mm in diameter
7448,Lesion number ranges from four to 200
7449,lesion of the gastric mucosa
7450,lesion of the mouth
7451,Lesion site reaction
7452,"Lesion start as a small,  indurated, warty papule with a slight inflammatory areola"
7453,"lesion, which is usually solitary, is often situated around the  eyelids or near the mouth, or occasionally on the genitalia"
7454,LESIONS
7455,"Lesions  are commonly composed of papules and pustules, often forming verrucous or granulomatous plaques or nodules, which  may ulcerate"
7456,"Lesions  are longstanding, small, usually less than 1 cm, skin coloured and  asymptomatic."
7457,"Lesions are  most commonly central on the face, and single."
7458,"Lesions are  most often seen with diabetes or before, during or after  dialysis for renal failure"
7459,lesions are commonly seen on neck and on trunk
7460,"lesions are dull red, flat or slightly raised maculopapules, which may either remain small or increase in size to reach a diameter of 1–3 cm in 48 h"
7461,lesions are found within naevus  sebaceous and trichoblastoma is regarded as the most common neoplasm occurring in this hamartoma
7462,"Lesions are itchy papules and pustules, which are often diffusely  scattered on the shoulders and back."
7463,Lesions are less than 1 cm in diameter and present  as papules or dome-shaped nodules. They may occur anywhere on  the body including the genitalia
7464,"lesions are macular, sharply  defined and not scaly."
7465,"Lesions are more common in uncircumcised men and may be located on the prepuce, frenulum, coronal sulcus, glans penis and penile shaft"
7466,"Lesions are most common on the elbows, knees and  feet of swimmers, and on the dominant hand"
7467,"lesions are most commonly seen on the upper body especially on the face, neck, shoulder and arm."
7468,"lesions are neither pruritic nor painful, and  sometimes go unnoticed by the patient, primarily involve the trunk and proximal extremities but may involve the hands and face"
7469,lesions are non-migratory in nature
7470,Lesions are often  slightly erythematous and have fine scaling
7471,"lesions are often confi ned to the face, and are most  common on the cheeks and around the mouth and chin"
7472,"Lesions are oval, pea-sized flaccid pustules on a normal or erythematous base"
7473,"Lesions are small (no more than 2  cm  in diameter), longstanding, usually asymptomatic and may  be solitary or, rarely, multiple"
7474,"lesions are solitary or appear in crops, as small papules of dermal"
7475,Lesions are sometimes round or oval and have an atrophic appearance and a yellow red colour
7476,"Lesions are subcutaneous, asymptomatic and measure less than 5  cm in diameter. Occasional larger pedunculated  lesions have been reported"
7477,Lesions are typically dark blue or purple and may partially blanche when tumid
7478,Lesions are typically painful
7479,"Lesions become  hyperplastic and may reach an enormous size, extending from the  nostrils to the pharynx or outwards over the lip"
7480,lesions can be recognized as  small raised nodules with two or three hairs protruding together  in a small tuft
7481,Lesions can number as few as 10 or  up to thousands
7482,"lesions can occur all over the body but are  most frequently found on the trunk, thighs, buttocks and genitalia"
7483,"Lesions consist of a papule or nodule presenting in an adult, with  a predilection for the trunk and limbs and, less commonly, involving the face"
7484,Lesions first appear as erythematous indurated papules that slowly enlarge to form a ring as the central area flattens and fades
7485,"Lesions have been reported mainly from the head and neck area,  including the eyelid and external ear, ano-genital skin and also the  axilla"
7486,"Lesions in other locations,  including internal organs, are exceptional. Multiple lesions are  usually bilateral and may be sym metrical"
7487,"lesions include persistent plaques, ulcers, nodules and sinuses. Vaginal lesions may bleed"
7488,"lesions initially are non-keratotic, soft and bluish-red in colour."
7489,"lesions may be acneform, nodular, ulcerated or verrucous"
7490,"Lesions may be black or dark brown, fl at or cupuliform papules.  They measure 1–5 mm in diameter"
7491,"lesions may be diffuse,  raised velvety patches bleeding on touch, a whitish patch or  ulcer"
7492,"lesions may be scarlatiniform, rubelliform or morbilliform, or  may consist of a profuse eruption of small pink papules showing  no close resemblance to any infective exanthem"
7493,"Lesions may be solitary or multiple, and occur most commonly on the legs (in 70%), but may affect any body site including the genitals and mucosae"
7494,lesions may be vesicular or pustular
7495,"lesions measure  2–5 mm in diameter and are pearly, flesh-colored, and umbilicated,  with a characteristic dimple at the center."
7496,Lesions occur most commonly in the mouth
7497,"lesions occurs most commonly  in the groins, axillae and the intergluteal and submammary flexures"
7498,"Lesions of EED most commonly appear chronically in a symmetrical fashion over the dorsa of the hands, knees, buttocks and Achilles tendons.Occasionally, the face and ears are also affected by EED"
7499,"Lesions on the face and neck are generally indistinguishable from  plane warts, but on the trunk and limbs they tend to be larger."
7500,"Lesions present as small multiple nodules with a predilection for  the dorsal or dorsolateral aspect of the third, fourth and fi fth digit"
7501,Lesions present mainly on the forearms or neck as a small red or  blue circumscribed and asymptomatic plaque.
7502,lesions presents most commonly on the face and trunk
7503,"Lesions typically occur in areas prone to stasis, commonly including the ankles and lower legs ., and typically sparing intertriginous regions"
7504,Lesions typically occur on  the extremities and are often situated over joints
7505,"Lesions usually occur above the waist and particularly around the neck, on the trunk and on the outer aspects of the arms"
7506,"Less common features are growth retardation, microcephaly, autistic-like behavior, and ocular anomalies"
7507,Less commonly reported effects are
7508,less likely to cause sedation
7509,less sedating
7510,less sedation
7511,less sperm count
7512,less tachyarrhythmia
7513,Lesser degrees of AV block
7514,Lethal congenital contractural syndrome (LCCS)
7515,lethal encephalopathy
7516,lethargy
7517,leucocoria
7518,leucocytoclastic vasculitis
7519,leucocytosis
7520,leucopenia
7521,LEUCORRHOEA
7522,Leukaemia 
7523,leukaemia
7524,Leukaemia cutis
7525,leukemia
7526,leukemia.
7527,leukocoria (whitish pupillary reflex)
7528,Leukocoria or yellowish-white pupillary reflex (also called as amaurotic cat’s eye appearance)
7529,Leukocyte adhesion deficiency
7530,Leukocytoclastic vasculitis
7531,Leukocytosis
7532,LEUKODYSTROPHY
7533,Leukoencephalopathy
7534,leukonychia
7535,leukopenia
7536,leukoplakia
7537,LEUKORRHEA
7538,leukotrichia
7539,levator ani muscles have been torn
7540,Leydig cell tumour
7541,LHERMITTE
7542,libido
7543,lichen amyloidosus
7544,Lichen myxoedematosus
7545,Lichen Planus
7546,lichen planus-like lesions on the skin
7547,LICHEN SCELEROSUS
7548,lichen sclerosus
7549,Lichen scrofulosorum
7550,Lichen simplex
7551,Lichen simplex and lichenification
7552,Lichen simplex chronicus
7553,Lichen simplex chronicus and nodular prurigo(14752
7554,Lichen spinulosus
7555,Lichen striatus
7556,Lichenification
7557,lichenoid
7558,Lichenoid drug eruption
7559,lichenoid eruption
7560,Lichenoid keratosis
7561,lichenoid papules
7562,Lid abscess
7563,lid becomes red and swollen with a typical S-shaped curve of its margin
7564,Lid lag (von Graefe’s sign)
7565,lid laxity
7566,Lid margin is outrolled
7567,Lid margins are chronically inflamed with rounded posterior borders.
7568,Lid margins may be congested.
7569,LID RETRACTION
7570,Lid trauma
7571,Liddle s syndrome
7572,Lids become red and swollen
7573,Lids show a marked oedema and hyperaemia
7574,Life threatening infections
7575,life-threatening pulmonary haemorrhage
7576,lifethreatening reactions
7577,life-threatening ventricular tachycardia
7578,ligamentous laxity
7579,Light brightness sensitivity and contrast sensitivity are diminished
7580,light coloured stool
7581,light hair and eyebrows
7582,light sensitivity eruption
7583,light skin
7584,lightening of hair colour
7585,Light-headache
7586,lightheadedness
7587,LIIMITATION OF MOVEMENT
7588,limb abscesses
7589,LIMB DEFORMITY
7590,Limb growth asymmetry
7591,limb mutilation
7592,Limb oedema
7593,Limbal conjunctiva may show gelatinous deposits
7594,LIMBAL DERMOID
7595,Limbal scar
7596,Limb-Girdle Muscular Dystrophies
7597,Limbitis
7598,Limbs become spastic because of stretching of cortical fibers
7599,"limitation of movement of the joints of the hands and feet, or of  the shoulders"
7600,limitations in range of motion
7601,Limited movement
7602,LIMP
7603,Linea Alba
7604,Linear and geometric configurations may arise at the sites of trauma as an isomorphic (Koebner) phenomenon
7605,linear burrows
7606,linear focal elastosis
7607,linear growth failure
7608,Linear IgA disease
7609,Linear Nevus Syndrome
7610,linear pattern of skin thickening  on the palms and flexor aspects of the fingers
7611,lingual abscess
7612,lingual thyroglossal duct cyst
7613,LINGUAL THYROID
7614,lip bleeding
7615,lip bruise
7616,lip deformity
7617,lip discoloration
7618,lip dryness
7619,lip fasciculation
7620,lip infection
7621,lip injury
7622,lip involentary movement
7623,lip itching
7624,lip loss of sensation
7625,lip numbness
7626,lip pain
7627,lip pale skin
7628,lip rashes
7629,lip redness
7630,lip stiffness
7631,lip swelling
7632,lip tenderness
7633,lip thickness
7634,lip thin
7635,lip tightness
7636,lip tingling
7637,lip ulcer
7638,lip weakness
7639,lipaemia retinalis
7640,Lipid-rich carcinoma
7641,lipoatrophy
7642,Lipoblastoma and lipoblastomatosis
7643,lipoblastoma/lipoblastopmatosis
7644,lipodermatosclerosis
7645,lipodystrophy
7646,LIPOEDEMA
7647,Lipofi bromatosis
7648,Lipofibromatosis
7649,Lipohypertrophy
7650,Lipoid pneumonia
7651,Lipoid proteinosis
7652,Lipo-lymphoedema
7653,lipoma
7654,lipomatosis
7655,lipomatosis of nerve
7656,Liposarcoma
7657,"Liposarcoma, not otherwise specified"
7658,Lipschutz ulceration
7659,Lisch Epithelial Corneal Dystrophy
7660,Lissencephaly (LIS) Miller-Dieker syndrome
7661,LISTERIA MONOCYTOGENES
7662,listeriosis
7663,listers and papules appear on the upper pinnae
7664,live vaccines
7665,livedo
7666,Livedo reticularis
7667,Livedo reticularis
7668,Livedoid vasculopathy/atrophie blanche
7669,Liver abnormalities
7670,LIVER ABSCESS
7671,liver carcinoma
7672,liver damage
7673,liver disease
7674,liver disorders
7675,Liver disturbances
7676,Liver duct disease
7677,Liver dysfunction
7678,liver edge
7679,Liver enzyme values may increase
7680,liver failure
7681,Liver Fluke Disease
7682,Liver function abnormalities
7683,Liver function changes
7684,Liver impairment
7685,liver injury
7686,"Liver is hard, smooth/irregular and often  massively enlarged. Cirrhotic liver may be nodular."
7687,liver toxicity
7688,Liver transplantation
7689,LIVER TRAUMA
7690,lndurated mass under the areola which is often tender.
7691,LOBER DEGENERATION
7692,lobomycosis
7693,Lobular capillary haemangioma (pyogenic granuloma)
7694,Lobular neoplasia Lobular carcinoma in situ
7695,local  wound infection
7696,"local abscess formation is rapidly followed by lymphangitis, lymphadenitis and septicaemia; characteristically, multiple abscesses develop, subcutaneously or in the  muscles, lung, liver and spleen"
7697,Local anaesthesia
7698,Local burning
7699,Local discomfort
7700,Local hypersensitivity  reaction
7701,Local hypopigmentation
7702,Local infection
7703,local injury
7704,local irritant
7705,local irritation
7706,local irritation at the injection site
7707,Local irritation has occurred after sublingual use
7708,Local necrosis
7709,local pain
7710,Local pain at injection site
7711,Local reactions
7712,Local reactions such as pain
7713,Local sensitivity
7714,local skin erosion
7715,local swelling
7716,local tenderness
7717,local throat irritation
7718,Local thrombophlebitis can occur
7719,local tissue damage
7720,Local tissue irritation
7721,local tissue necrosis
7722,local wound becomes red and swollen
